,0
2025-10-16 06:30:00+02:00,0.0
2025-10-16 06:45:00+02:00,0.0
2025-10-16 07:00:00+02:00,530.480407
2025-10-16 07:15:00+02:00,848.065246
2025-10-16 07:30:00+02:00,978.884826
2025-10-16 07:45:00+02:00,1013.919494
2025-10-16 08:00:00+02:00,731.640747
2025-10-16 08:15:00+02:00,584.761657
2025-10-16 08:30:00+02:00,590.725708
2025-10-16 08:45:00+02:00,439.15097
2025-10-16 09:00:00+02:00,499.800628
2025-10-16 09:15:00+02:00,475.259735
2025-10-16 09:30:00+02:00,152.666305
2025-10-16 09:45:00+02:00,70.673927
2025-10-16 10:00:00+02:00,0.0
2025-10-16 10:15:00+02:00,0.0
2025-10-16 10:30:00+02:00,0.0
2025-10-16 10:45:00+02:00,0.0
2025-10-16 11:00:00+02:00,0.0
2025-10-16 11:15:00+02:00,0.0
2025-10-16 11:30:00+02:00,0.0
2025-10-16 11:45:00+02:00,0.0
2025-10-16 12:00:00+02:00,0.0
2025-10-16 12:15:00+02:00,0.0
2025-10-16 12:30:00+02:00,0.0
2025-10-16 12:45:00+02:00,0.0
2025-10-16 13:00:00+02:00,0.0
2025-10-16 13:15:00+02:00,0.0
2025-10-16 13:30:00+02:00,0.0
2025-10-16 13:45:00+02:00,0.0
2025-10-16 14:00:00+02:00,0.0
2025-10-16 14:15:00+02:00,0.0
2025-10-16 14:30:00+02:00,0.0
2025-10-16 14:45:00+02:00,0.0
2025-10-16 15:00:00+02:00,0.0
2025-10-16 15:15:00+02:00,0.0
2025-10-16 15:30:00+02:00,0.0
2025-10-16 15:45:00+02:00,0.0
2025-10-16 16:00:00+02:00,134.885421
2025-10-16 16:15:00+02:00,212.647735
2025-10-16 16:30:00+02:00,283.176666
2025-10-16 16:45:00+02:00,536.661499
2025-10-16 17:00:00+02:00,853.55426
2025-10-16 17:15:00+02:00,1084.533203
2025-10-16 17:30:00+02:00,1560.074951
2025-10-16 17:45:00+02:00,1534.888061
2025-10-16 18:00:00+02:00,1555.542602
2025-10-16 18:15:00+02:00,1650.580078
2025-10-16 18:30:00+02:00,1558.456787
2025-10-16 18:45:00+02:00,1410.774169
2025-10-16 19:00:00+02:00,1658.345214
2025-10-16 19:15:00+02:00,1485.787109
2025-10-16 19:30:00+02:00,1230.588867
2025-10-16 19:45:00+02:00,1170.356079
2025-10-16 20:00:00+02:00,1087.738647
2025-10-16 20:15:00+02:00,963.414489
2025-10-16 20:30:00+02:00,795.527404
2025-10-16 20:45:00+02:00,604.39508
2025-10-16 21:00:00+02:00,250.220275
2025-10-16 21:15:00+02:00,32.296115
2025-10-16 21:30:00+02:00,0.0
2025-10-16 21:45:00+02:00,0.0
2025-10-16 22:00:00+02:00,0.0
2025-10-16 22:15:00+02:00,0.0
2025-10-16 22:30:00+02:00,0.0
2025-10-16 22:45:00+02:00,0.0
